date,fiscal_year,month,series,label,expenditure
2016-01-01,2016,1,aging,Aging,50.1
2016-01-01,2016,1,corrections,Corrections,147.9
2016-01-01,2016,1,education,Education,691.4
2016-01-01,2016,1,healthcare,Healthcare,529.9
2016-01-01,2016,1,higher_ed,Higher Education,169.3
2016-01-01,2016,1,human_services,Human Services,433.4
2016-01-01,2016,1,total_expenditures,Total Expenditures,2253.6
2016-02-01,2016,2,aging,Aging,42.6
2016-02-01,2016,2,corrections,Corrections,150.5
2016-02-01,2016,2,education,Education,690.4
2016-02-01,2016,2,healthcare,Healthcare,462.2
2016-02-01,2016,2,higher_ed,Higher Education,175.4
2016-02-01,2016,2,human_services,Human Services,412.8
2016-02-01,2016,2,total_expenditures,Total Expenditures,2159.3
2016-03-01,2016,3,aging,Aging,67.2
2016-03-01,2016,3,corrections,Corrections,154
2016-03-01,2016,3,education,Education,738.3
2016-03-01,2016,3,healthcare,Healthcare,483.6
2016-03-01,2016,3,higher_ed,Higher Education,181
2016-03-01,2016,3,human_services,Human Services,436.7
2016-03-01,2016,3,total_expenditures,Total Expenditures,2295.1
2016-04-01,2016,4,aging,Aging,66.6
2016-04-01,2016,4,corrections,Corrections,160
2016-04-01,2016,4,education,Education,729.5
2016-04-01,2016,4,healthcare,Healthcare,504.4
2016-04-01,2016,4,higher_ed,Higher Education,174
2016-04-01,2016,4,human_services,Human Services,449
2016-04-01,2016,4,total_expenditures,Total Expenditures,2268.4
2016-05-01,2016,5,aging,Aging,64.2
2016-05-01,2016,5,corrections,Corrections,139.6
2016-05-01,2016,5,education,Education,713.9
2016-05-01,2016,5,healthcare,Healthcare,559.6
2016-05-01,2016,5,higher_ed,Higher Education,203
2016-05-01,2016,5,human_services,Human Services,431.9
2016-05-01,2016,5,total_expenditures,Total Expenditures,2300.4
2016-06-01,2016,6,aging,Aging,55.4
2016-06-01,2016,6,corrections,Corrections,158
2016-06-01,2016,6,education,Education,716.3
2016-06-01,2016,6,healthcare,Healthcare,558.9
2016-06-01,2016,6,higher_ed,Higher Education,202.2
2016-06-01,2016,6,human_services,Human Services,439
2016-06-01,2016,6,total_expenditures,Total Expenditures,2157.6
2016-07-01,2017,7,aging,Aging,89.8
2016-07-01,2017,7,corrections,Corrections,175.5
2016-07-01,2017,7,education,Education,748.1
2016-07-01,2017,7,healthcare,Healthcare,548.9
2016-07-01,2017,7,higher_ed,Higher Education,221.9
2016-07-01,2017,7,human_services,Human Services,458.9
2016-07-01,2017,7,total_expenditures,Total Expenditures,2245.5
2016-08-01,2017,8,aging,Aging,88.9
2016-08-01,2017,8,corrections,Corrections,179.3
2016-08-01,2017,8,education,Education,720.6
2016-08-01,2017,8,healthcare,Healthcare,571.6
2016-08-01,2017,8,higher_ed,Higher Education,220.3
2016-08-01,2017,8,human_services,Human Services,465.5
2016-08-01,2017,8,total_expenditures,Total Expenditures,2275.7
2016-09-01,2017,9,aging,Aging,95.1
2016-09-01,2017,9,corrections,Corrections,185.7
2016-09-01,2017,9,education,Education,781.1
2016-09-01,2017,9,healthcare,Healthcare,587.5
2016-09-01,2017,9,higher_ed,Higher Education,201.2
2016-09-01,2017,9,human_services,Human Services,453.8
2016-09-01,2017,9,total_expenditures,Total Expenditures,2316.4
2016-10-01,2017,10,aging,Aging,67.6
2016-10-01,2017,10,corrections,Corrections,165.3
2016-10-01,2017,10,education,Education,714.5
2016-10-01,2017,10,healthcare,Healthcare,562.7
2016-10-01,2017,10,higher_ed,Higher Education,168.7
2016-10-01,2017,10,human_services,Human Services,467.8
2016-10-01,2017,10,total_expenditures,Total Expenditures,2286.6
2016-11-01,2017,11,aging,Aging,68.5
2016-11-01,2017,11,corrections,Corrections,157.3
2016-11-01,2017,11,education,Education,723.4
2016-11-01,2017,11,healthcare,Healthcare,566.9
2016-11-01,2017,11,higher_ed,Higher Education,211.1
2016-11-01,2017,11,human_services,Human Services,466.6
2016-11-01,2017,11,total_expenditures,Total Expenditures,2290.8
2016-12-01,2017,12,aging,Aging,82.3
2016-12-01,2017,12,corrections,Corrections,194.5
2016-12-01,2017,12,education,Education,765.8
2016-12-01,2017,12,healthcare,Healthcare,577.7
2016-12-01,2017,12,higher_ed,Higher Education,208.8
2016-12-01,2017,12,human_services,Human Services,455.7
2016-12-01,2017,12,total_expenditures,Total Expenditures,2356
2017-01-01,2017,1,aging,Aging,52.4
2017-01-01,2017,1,corrections,Corrections,145.8
2017-01-01,2017,1,education,Education,708.4
2017-01-01,2017,1,healthcare,Healthcare,550.8
2017-01-01,2017,1,higher_ed,Higher Education,165.5
2017-01-01,2017,1,human_services,Human Services,476.2
2017-01-01,2017,1,total_expenditures,Total Expenditures,2349.3
2017-02-01,2017,2,aging,Aging,52.9
2017-02-01,2017,2,corrections,Corrections,140.2
2017-02-01,2017,2,education,Education,718.6
2017-02-01,2017,2,healthcare,Healthcare,515.1
2017-02-01,2017,2,higher_ed,Higher Education,189.8
2017-02-01,2017,2,human_services,Human Services,437.8
2017-02-01,2017,2,total_expenditures,Total Expenditures,2399.7
2017-03-01,2017,3,aging,Aging,59.8
2017-03-01,2017,3,corrections,Corrections,164
2017-03-01,2017,3,education,Education,780.2
2017-03-01,2017,3,healthcare,Healthcare,614.5
2017-03-01,2017,3,higher_ed,Higher Education,187.4
2017-03-01,2017,3,human_services,Human Services,457
2017-03-01,2017,3,total_expenditures,Total Expenditures,2368.2
2017-04-01,2017,4,aging,Aging,79.7
2017-04-01,2017,4,corrections,Corrections,160.4
2017-04-01,2017,4,education,Education,728.9
2017-04-01,2017,4,healthcare,Healthcare,567.1
2017-04-01,2017,4,higher_ed,Higher Education,189.8
2017-04-01,2017,4,human_services,Human Services,435.2
2017-04-01,2017,4,total_expenditures,Total Expenditures,2280.1
2017-05-01,2017,5,aging,Aging,76.6
2017-05-01,2017,5,corrections,Corrections,153.2
2017-05-01,2017,5,education,Education,741.9
2017-05-01,2017,5,healthcare,Healthcare,585.2
2017-05-01,2017,5,higher_ed,Higher Education,199.7
2017-05-01,2017,5,human_services,Human Services,468.1
2017-05-01,2017,5,total_expenditures,Total Expenditures,2277.5
2017-06-01,2017,6,aging,Aging,75.1
2017-06-01,2017,6,corrections,Corrections,166.6
2017-06-01,2017,6,education,Education,787.9
2017-06-01,2017,6,healthcare,Healthcare,547.7
2017-06-01,2017,6,higher_ed,Higher Education,182.2
2017-06-01,2017,6,human_services,Human Services,451.4
2017-06-01,2017,6,total_expenditures,Total Expenditures,2435.4
2017-07-01,2018,7,aging,Aging,95.5
2017-07-01,2018,7,corrections,Corrections,195.9
2017-07-01,2018,7,education,Education,769.6
2017-07-01,2018,7,healthcare,Healthcare,597.8
2017-07-01,2018,7,higher_ed,Higher Education,217.1
2017-07-01,2018,7,human_services,Human Services,503.8
2017-07-01,2018,7,total_expenditures,Total Expenditures,2374.4
2017-08-01,2018,8,aging,Aging,103.4
2017-08-01,2018,8,corrections,Corrections,192.1
2017-08-01,2018,8,education,Education,767.2
2017-08-01,2018,8,healthcare,Healthcare,625.6
2017-08-01,2018,8,higher_ed,Higher Education,212.4
2017-08-01,2018,8,human_services,Human Services,502.9
2017-08-01,2018,8,total_expenditures,Total Expenditures,2424.4
2017-09-01,2018,9,aging,Aging,98.9
2017-09-01,2018,9,corrections,Corrections,192.7
2017-09-01,2018,9,education,Education,790.2
2017-09-01,2018,9,healthcare,Healthcare,615.4
